Date,EPI.Tube.Num,Tank,Trial,TimePoint,Treatment,Contents,Storage,DNA.Extraction,DNA.QC,DNA.Conc.ng.µl,DNA.vol.µl,DNA.amount.µg,DNA.Extraction,DNA.QC,DNA.Conc.ng.µl,DNA.vol.µl,DNA.amount.µg,Notes
8-Mar-16,EPI_1,Time0,Trial2,Day0,Ambient,10k larvae,RNALater,20161027,Fail,0,0,0,20170106,Fail,0,0,0,"Extractions failed, no detectable DNA"
8-Mar-16,EPI_2,Time0,Trial2,Day0,Ambient,10k larvae,RNALater,20170106,Low,4.16,115,0.4784,,,,,,
8-Mar-16,EPI_3,Time0,Trial2,Day0,Ambient,10k larvae,minus80,20170106,Pass,57.8,115,6.647,NA,NA,NA,NA,NA,
8-Mar-16,EPI_4,Time0,Trial2,Day0,Ambient,10k larvae,minus80,20170106,Pass,91.2,115,10.488,NA,NA,NA,NA,NA,
10-Mar-16,EPI_5,Tank1,Trial2,Day2,High,10k larvae,RNALater,20170106,Not detectable,0,115,0,,,,,,
10-Mar-16,EPI_6,Tank2,Trial2,Day2,Ambient,10k larvae,RNALater,20170106,Not detectable,0,115,0,,,,,,
10-Mar-16,EPI_7,Tank3,Trial2,Day2,Ambient,10k larvae,RNALater,20170106,Not detectable,0,115,0,,,,,,
10-Mar-16,EPI_8,Tank3,Trial2,Day2,Ambient,10k larvae,minus80,20170106,Pass,56.4,115,6.486,NA,NA,NA,NA,NA,
10-Mar-16,EPI_9,Tank4,Trial2,Day2,High,10k larvae,RNALater,20170106,Not detectable,0,115,0,,,,,,
10-Mar-16,EPI_10,Tank4,Trial2,Day2,High,10k larvae,minus80,20161027,Pass,42.6,140,5.964,NA,NA,NA,NA,NA,
10-Mar-16,EPI_11,Tank5,Trial2,Day2,High,10k larvae,RNALater,20170106,Low,3.06,115,0.3519,,,,,,
10-Mar-16,EPI_12,Tank5,Trial2,Day2,High,10k larvae,minus80,20170106,Pass,41.2,115,4.738,NA,NA,NA,NA,NA,
10-Mar-16,EPI_13,Tank6,Trial2,Day2,Ambient,10k larvae,RNALater,20170106,Low,2.98,115,0.3427,,,,,,
10-Mar-16,EPI_14,Tank6,Trial2,Day2,Ambient,10k larvae,minus80,20170106,Pass,53.4,115,6.141,NA,NA,NA,NA,NA,
10-Mar-16,EPI_15,Tank1,Trial2,Day2,High,10k larvae,minus80,20170106,Pass,71.6,115,8.234,NA,NA,NA,NA,NA,
10-Mar-16,EPI_16,Tank2,Trial2,Day2,Ambient,10k larvae,minus80,20170106,Pass,62.4,115,7.176,NA,NA,NA,NA,NA,
12-Mar-16,EPI_17,Tank3,Trial2,Day4,Ambient,10k larvae,RNALater,20170106,Low,8.42,115,0.9683,,,,,,
12-Mar-16,EPI_18,Tank3,Trial2,Day4,Ambient,10k larvae,minus80,20170106,Pass,51.8,115,5.957,NA,NA,NA,NA,NA,
12-Mar-16,EPI_19,Tank2,Trial2,Day4,Ambient,10k larvae,RNALater,20170106,Pass,46.2,115,5.313,NA,NA,NA,NA,NA,
12-Mar-16,EPI_20,Tank2,Trial2,Day4,Ambient,10k larvae,minus80,20170106,Pass,68.4,115,7.866,NA,NA,NA,NA,NA,
12-Mar-16,EPI_21,Tank1,Trial2,Day4,High,10k larvae,RNALater,20170106,Pass,36.2,115,4.163,NA,NA,NA,NA,NA,
12-Mar-16,EPI_22,Tank1,Trial2,Day4,High,10k larvae,minus80,20170106,Pass,98,115,11.27,NA,NA,NA,NA,NA,
12-Mar-16,EPI_23,Tank4,Trial2,Day4,High,10k larvae,RNALater,20170106,Pass,8.64,115,0.9936,NA,NA,NA,NA,NA,
12-Mar-16,EPI_24,Tank4,Trial2,Day4,High,10k larvae,minus80,20170106,,104,115,11.96,,,,,,
12-Mar-16,EPI_25,Tank5,Trial2,Day4,High,10k larvae,RNALater,20170106,,8.22,115,0.9453,,,,,,
12-Mar-16,EPI_26,Tank5,Trial2,Day4,High,10k larvae,minus80,20170106,Pass,71.2,115,8.188,NA,NA,NA,NA,NA,
12-Mar-16,EPI_27,Tank6,Trial2,Day4,Ambient,10k larvae,RNALater,20170106,Pass,36.6,115,4.209,NA,NA,NA,NA,NA,
12-Mar-16,EPI_28,Tank6,Trial2,Day4,Ambient,10k larvae,minus80,20170106,Pass,71,115,8.165,NA,NA,NA,NA,NA,
14-Mar-16,EPI_29,Tank4,Trial2,Day6,High,10k larvae,RNALater,20170106,Pass,21,115,2.415,NA,NA,NA,NA,NA,
14-Mar-16,EPI_30,Tank4,Trial2,Day6,High,10k larvae,minus80,20170106,Pass,79.6,115,9.154,NA,NA,NA,NA,NA,
14-Mar-16,EPI_31,Tank5,Trial2,Day6,High,10k larvae,RNALater,20170106,Low,10.8,115,1.242,,,,,,
14-Mar-16,EPI_32,Tank5,Trial2,Day6,High,10k larvae,minus80,20170106,Pass,80.8,115,9.292,NA,NA,NA,NA,NA,
14-Mar-16,EPI_33,Tank6,Trial2,Day6,Ambient,10k larvae,RNALater,20170106,Pass,39.4,115,4.531,NA,NA,NA,NA,NA,
14-Mar-16,EPI_34,Tank6,Trial2,Day6,Ambient,10k larvae,minus80,20170106,Pass,96.6,115,11.109,NA,NA,NA,NA,NA,
14-Mar-16,EPI_35,Tank3,Trial2,Day6,Ambient,10k larvae,RNALater,20170106,Pass,18.1,115,2.0815,NA,NA,NA,NA,NA,
14-Mar-16,EPI_36,Tank3,Trial2,Day6,Ambient,10k larvae,minus80,20161027,,80,140,11.2,20170106,,9.16,,,
14-Mar-16,EPI_37,Tank2,Trial2,Day6,Ambient,10k larvae,RNALater,20170106,,15.3,115,1.7595,,,,,,
14-Mar-16,EPI_38,Tank2,Trial2,Day6,Ambient,10k larvae,minus80,20161027,,74.2,140,10.388,NA,,,,,
14-Mar-16,EPI_39,Tank1,Trial2,Day6,High,10k larvae,RNALater,20170106,,22.8,115,2.622,,,,,,
14-Mar-16,EPI_40,Tank1,Trial2,Day6,High,10k larvae,minus80,20170106,,67,115,7.705,,,,,,
18-Mar-16,EPI_57,Tank1,Trial2,Day10,High,10k larvae,RNALater,,,,,,,,,,,
18-Mar-16,EPI_58,Tank1,Trial2,Day10,High,10k larvae,minus80,,,,,,,,,,,
18-Mar-16,EPI_59,Tank2,Trial2,Day10,Ambient,10k larvae,RNALater,,,,,,,,,,,
18-Mar-16,EPI_60,Tank2,Trial2,Day10,Ambient,10k larvae,minus80,20170106,Pass,161,115,18.515,NA,NA,NA,NA,NA,
18-Mar-16,EPI_61,Tank3,Trial2,Day10,Ambient,10k larvae,RNALater,,,,,,,,,,,
18-Mar-16,EPI_62,Tank3,Trial2,Day10,Ambient,10k larvae,minus80,20170106,Pass,186,115,21.39,NA,NA,NA,NA,NA,
18-Mar-16,EPI_63,Tank4,Trial2,Day10,High,10k larvae,RNALater,,,,,,,,,,,
18-Mar-16,EPI_64,Tank4,Trial2,Day10,High,10k larvae,minus80,,,,,,,,,,,
18-Mar-16,EPI_65,Tank5,Trial2,Day10,High,10k larvae,RNALater,20161027,,3,140,0.42,,,,,,REEXTRACT
18-Mar-16,EPI_66,Tank5,Trial2,Day10,High,10k larvae,minus80,20161027,Pass,11.2,140,1.568,NA,NA,NA,NA,NA,
18-Mar-16,EPI_67,Tank6,Trial2,Day10,Ambient,10k larvae,RNALater,,,,,,,,,,,
18-Mar-16,EPI_68,Tank6,Trial2,Day10,Ambient,10k larvae,minus80,,,,,,,,,,,
18-Mar-16,EPI_69,"Tanks 2,3,6",Trial2,Day10,Ambient,larvae,minus80,,,,,,,,,,,
18-Mar-16,EPI_70,"Tanks 2,3,6",Trial2,Day10,Ambient,larvae,minus80,,,,,,,,,,,
18-Mar-16,EPI_71,"Tanks 1,4",Trial2,Day10,High,larvae,minus80,,,,,,,,,,,
18-Mar-16,EPI_72,Time0,Trial3,Day0,Ambient,larvae,RNALater,,,,,,,,,,,
18-Mar-16,EPI_73,Time0,Trial3,Day0,Ambient,larvae,RNALater,,,,,,,,,,,
18-Mar-16,EPI_74,Time0,Trial3,Day0,Ambient,larvae,minus80,,,,,,,,,,,Consumed for RNAseq for genome annotation
18-Mar-16,EPI_75,Time0,Trial3,Day0,Ambient,larvae,minus80,,,,,,,,,,,Consumed for RNAseq for genome annotation
20-Mar-16,EPI_76,Tank1,Trial3,Day2,,10k larvae,RNALater,,,,,,,,,,,
20-Mar-16,EPI_77,Tank1,Trial3,Day2,,10k larvae,minus80,,,,,,,,,,,
20-Mar-16,EPI_78,Tank2,Trial3,Day2,,10k larvae,RNALater,20161027,Fail,3.13,140,0.4382,,,,,,REEXTRACT
20-Mar-16,EPI_79,Tank2,Trial3,Day2,,10k larvae,minus80,,,,,,,,,,,
20-Mar-16,EPI_80,Tank3,Trial3,Day2,,10k larvae,RNALater,,,,,,,,,,,
20-Mar-16,EPI_81,Tank3,Trial3,Day2,,10k larvae,minus80,,,,,,,,,,,
20-Mar-16,EPI_82,Tank4,Trial3,Day2,,10k larvae,RNALater,,,,,,,,,,,
20-Mar-16,EPI_83,Tank4,Trial3,Day2,,10k larvae,minus80,,,,,,,,,,,
20-Mar-16,EPI_84,Tank5,Trial3,Day2,,10k larvae,RNALater,,,,,,,,,,,
20-Mar-16,EPI_85,Tank5,Trial3,Day2,,10k larvae,minus80,,,,,,,,,,,
20-Mar-16,EPI_86,Tank6,Trial3,Day2,,10k larvae,RNALater,,,,,,,,,,,
20-Mar-16,EPI_87,Tank6,Trial3,Day2,,10k larvae,minus80,,,,,,,,,,,
22-Mar-16,EPI_88,Tank6,Trial3,Day4,,10k larvae,RNALater,,,,,,,,,,,
22-Mar-16,EPI_89,Tank6,Trial3,Day4,,10k larvae,minus80,,,,,,,,,,,
22-Mar-16,EPI_90,Tank3,Trial3,Day4,,10k larvae,RNALater,,,,,,,,,,,
22-Mar-16,EPI_91,Tank3,Trial3,Day4,,10k larvae,minus80,,,,,,,,,,,
22-Mar-16,EPI_92,Tank2,Trial3,Day4,,10k larvae,RNALater,,,,,,,,,,,
22-Mar-16,EPI_93,Tank2,Trial3,Day4,,10k larvae,minus80,,,,,,,,,,,
22-Mar-16,EPI_94,Tank5,Trial3,Day4,,10k larvae,RNALater,,,,,,,,,,,
22-Mar-16,EPI_95,Tank5,Trial3,Day4,,10k larvae,minus80,,,,,,,,,,,
22-Mar-16,EPI_96,Tank4,Trial3,Day4,,10k larvae,RNALater,,,,,,,,,,,
22-Mar-16,EPI_97,Tank4,Trial3,Day4,,10k larvae,minus80,,,,,,,,,,,
22-Mar-16,EPI_98,Tank1,Trial3,Day4,,10k larvae,RNALater,,,,,,,,,,,
22-Mar-16,EPI_99,Tank1,Trial3,Day5,,10k larvae,minus80,,,,,,,,,,,Consumed for RNAseq for genome annotation
23-Mar-16,EPI_100,Tank2,Trial3,Day5,,~5k larvae,minus80,,,,,,,,,,,
23-Mar-16,EPI_101,Tank3,Trial3,Day5,,~5k larvae,minus80,,,,,,,,,,,
23-Mar-16,EPI_102,Tank6,Trial3,Day5,,14k larvae,minus80,,,,,,,,,,,
