Measure.Date,Calib.Date,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Bottle.Number1,Bottle.Number2
20160308,20160307,1,pH 7.41,14.05,-19.7,27.5,2060.1,1,2
20160308,20160307,2,pH 7.90,14.06,-53,27.5,2033.4,3,4
20160308,20160307,3,pH 7.90,14.14,-52.8,27.5,2015.3,5,6
20160308,20160307,4,pH 7.41,14.11,-22.6,27.5,2084.8,7,8
20160308,20160307,5,pH 7.41,14.1,-22,27.5,2041,9,10
20160308,20160307,6,pH 7.90,14.08,-53.3,27.5,2014,11,12
20160309,20160309,1,pH 7.41,13.93,-29,27.4,2079.7,21,22
20160309,20160309,2,pH 7.90,13.92,-55,27.4,2024.9,23,24
20160309,20160309,3,pH 7.90,13.93,-55,27.4,2044.5,25,26
20160309,20160309,4,pH 7.41,13.91,-28.2,27.4,2060,27,28
20160309,20160309,5,pH 7.41,13.93,-28.6,27.5,2031,29,30
20160309,20160309,6,pH 7.90,13.94,-55,27.4,2102,31,32
20160310,20160310,1,pH 7.41,14.18,-29,27.3,2060,37,38
20160310,20160310,2,pH 7.90,13.99,-55.7,27.2,2040,39,40
20160310,20160310,3,pH 7.90,13.98,-55.6,27.2,2040,41,42
20160310,20160310,4,pH 7.41,13.87,-28.6,27.2,2060,43,44
20160310,20160310,5,pH 7.41,13.96,-28.4,27.2,2060,45,46
20160310,20160310,6,pH 7.90,14.01,-55.3,27.2,2040,47,48
20160311,20160311,1,pH 7.41,14,-30.3,27.5,2060,53,54
20160311,20160311,2,pH 7.90,14,-56.6,27.5,2040,55,56
20160311,20160311,3,pH 7.90,14.05,-56.8,27.5,2040,57,58
20160311,20160311,4,pH 7.41,14.03,-30.2,27.5,2060,59,60
20160311,20160311,5,pH 7.41,14,-30.1,27.5,2060,61,62
20160311,20160311,6,pH 7.90,13.99,-56.6,27.5,2040,63,64
20160312,20160312,1,pH 7.41,13.83,-29.7,27.5,2060,69,70
20160312,20160312,2,pH 7.90,13.81,-57.6,27.5,2040,71,72
20160312,20160312,3,pH 7.90,13.84,-57.6,27.5,2040,73,74
20160312,20160312,4,pH 7.41,13.8,-29.5,27.5,2060,75,76
20160312,20160312,5,pH 7.41,13.86,-29.6,27.5,2060,77,78
20160312,20160312,6,pH 7.90,13.87,-57.7,27.5,2040,79,80
20160313,20160313,1,pH 7.41,13.89,-30.4,27.5,2060,85,86
20160313,20160313,2,pH 7.90,13.9,-58.5,27.4,2040,87,88
20160313,20160313,3,pH 7.90,13.95,-58.5,27.4,2040,89,90
20160313,20160313,4,pH 7.41,13.89,-29.9,27.4,2060,91,92
20160313,20160313,5,pH 7.41,13.89,-30,27.5,2060,93,94
20160313,20160313,6,pH 7.90,13.96,-58.4,27.5,2040,95,96
20160314,20160314,1,pH 7.41,13.3,-30.3,27.3,2715.519033673,101,102
20160314,20160314,2,pH 7.90,13.31,-57.6,27.3,2040,103,104
20160314,20160314,3,pH 7.90,13.39,-57.3,27.3,2040,105,106
20160314,20160314,4,pH 7.41,13.26,-29.7,27.3,2702.23845499924,107,108
20160314,20160314,5,pH 7.41,13.35,-29.9,27.3,2060,109,110
20160314,20160314,6,pH 7.90,13.49,-57.2,27.3,2583.42907960619,111,112
20160317,20160317,1,pH 7.41,13.86,-30.1,27.5,2724.60180518169,117,118
20160317,20160317,2,pH 7.28,13.81,-9.5,27.4,2899.37712554393,119,120
20160317,20160317,3,pH 7.28,13.92,-9.8,27.4,2911.10016437492,121,122
20160317,20160317,4,pH 7.41,13.8,-29.5,27.4,2060,123,124
20160317,20160317,5,pH 7.41,13.84,-30.4,27.4,2746.82812342766,125,126
20160317,20160317,6,pH 7.28,13.87,-9.8,27.5,2040,127,128
